key,value,title,screenshot,wip
volunteer_portal.admin.tab.reporting,Informes,Clickable tab that displays the administrator Reporting View,https://drive.google.com/open?id=1ilxTU6f_yWopyoVEZIHPI2z6VDHY__H8,TRUE
volunteer_portal.calendar.bigcalendar.month,Mes,"Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated",https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_,TRUE
volunteer_portal.calendar.bigcalendar.week,Semana,"Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated",https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_,TRUE
volunteer_portal.calendar.bigcalendar.work_week,Semana laboral,"Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated",https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_,TRUE
volunteer_portal.calendar.bigcalendar.day,Día,"Tab to select Month, Week, Work Week and Day. ATM ONLY Month is activated",https://drive.google.com/open?id=1Q840c2xaqGMFMT2ivJnGFXEaL88VY4R_,TRUE
volunteer_portal.calendar.bigcalendar.agenda,Agenda,No need to translate,,TRUE
volunteer_portal.admin.tab.dashboard_thisweek,Esta semana,Label on top of This Week events,https://drive.google.com/file/d/1XKDa1cbJTpEwiBkfT6qt_N-Zbvi1_TOA,TRUE
volunteer_portal.admin.tab.dashboard_thismonth,Este mes,Label on top of This Month events,https://drive.google.com/open?id=1QIX2GP6auzowezJbVkiJLa-2tb89aD4Z,TRUE
volunteer_portal.admin.tab.dashboard_noeventsthisweek,No hay eventos este mes,Text when there are no events on this week,https://drive.google.com/open?id=1QIX2GP6auzowezJbVkiJLa-2tb89aD4Z,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_events,Eventos,Text title for a number of events this week,https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_volunteers,Voluntarios,Text title beginning for a number of volunteers registered this week,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_registered,registrados,Text title continuation for a number of volunteers registered this week,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_hours,Horas,Text title beginning for a number of hours commited this week,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_committed,comprometidas,Text title continuation for a number of hours committed this week,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thisweek_spotsfilled,Cupos llenados,Text title a percentage of volunteering spots filled this week,https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL,TRUE
volunteer_portal.admin.tab.dashboard_noeventsthismonth,No hay eventos este mes,Text when there are no events on this month,https://drive.google.com/open?id=1Ss1sH1AbMMWEfwuuwW-U59djPHQzRoT3,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_events,Eventos,Text title for a list of events this month,https://drive.google.com/open?id=1ErqgKSMqsVyrsDwj_sorGCG5ofdx4iVp,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_volunteers,Voluntarios,Text title beginning for a number of volunteers registered this month,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_registered,registrados,Text title continuation for a number of volunteers registered this month,https://drive.google.com/open?id=1ivyFAFzOoYm_I_DjERnlPTAiZwbEhzkQ,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_hours,Horas,Text title beginning for a number of hours commited this month,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_committed,comprometidas,Text title continuation for a number of hours committed this month,https://drive.google.com/open?id=19Hbs1543LqKUjjW0YkShYlVGPgL94yd2,TRUE
volunteer_portal.admin.tab.dashboard_thismonth_spotsfilled,Cupos llenados,Text title a percentage of volunteering spots filled this month,https://drive.google.com/open?id=1Y0TkntLA2PmdlniPcf1vk-mJK6W_lbLL,TRUE
volunteer_portal.admin.tab.events_addevent,Agregar evento,Button label to action add an event,https://drive.google.com/open?id=1gVgD847rRwXjXfk778mPTol_J12zE3g1,TRUE
volunteer_portal.admin.tab.events_addevent.title,Título,,,TRUE
volunteer_portal.admin.tab.events.add.description,Descripción,,,true
volunteer_portal.admin.tab.events.add.tags,Etiquetas,,,true
volunteer_portal.admin.tab.events.add.eventtype,Tipo de evento,,,true
volunteer_portal.admin.tab.events.add.organization,Organización,,,true
volunteer_portal.admin.tab.events.add.office,Oficina,,,true
volunteer_portal.admin.tab.events.add.location,Ubicación,,,true
volunteer_portal.admin.tab.events.add.startdate,Fecha de inicio,,,true
volunteer_portal.admin.tab.events.add.starttime,Hora de inicio,,,true
volunteer_portal.admin.tab.events.add.enddate,Fecha de terminación,,,true
volunteer_portal.admin.tab.events.add.endtime,Hora de terminación,,,true
volunteer_portal.admin.tab.events.add.capacity,Capacidad,,,true
volunteer_portal.admin.tab.events.add.save,Guardar,,,true
volunteer_portal.admin.tab.events_editevent,Editar,Button label to take you to edit event page,https://drive.google.com/open?id=1xZksLkPfj56nwISFbw-M1OBcwtq9l4bZ,TRUE
volunteer_portal.admin.tab.events_cloneevent,Clonar,Button label to take you to clone event page,https://drive.google.com/open?id=1asG_2C-G3PIyik5BYlEQjg7rgUjtPkqj,TRUE
volunteer_portal.admin.tab.events_deleteevent,Borrar,Button label to delete an event,https://drive.google.com/open?id=1ed0yL5peTPc4dBJmT6fZG-NHewpmLcAD,TRUE
volunteer_portal.admin.tab.events_columntitle,Cargo,Column title for the field Title,,TRUE
volunteer_portal.admin.tab.events_columnorganization,Organización,Column title for the field Organization,,TRUE
volunteer_portal.admin.tab.events_columnstart,Inicio,Column title for the field Start as in date and time,,TRUE
volunteer_portal.admin.tab.events_columnduration,Duración,Column title for the field Duration in minutes of the event,,TRUE
volunteer_portal.admin.tab.events_columnparticipants,Participantes,Column title for the field Participant for a number of people,,TRUE
volunteer_portal.admin.tab.events_columnactions,Acciones,Column title for the field Action,,TRUE
volunteer_portal.admin.tab.events.add.title,Título,,,true
volunteer_portal.admin.tab.eventtype.save,Guardar,,,true
volunteer_portal.admin.tab.eventtype.title,Título,,,true
volunteer_portal.admin.tab.eventtypes_edit,Editar,Text button to edit an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_delete,Borrar,Text button to delete an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_title,Cargo,Column title for the field Title,,TRUE
volunteer_portal.admin.tab.eventtypes_actions,Acciones,Column title for the field Actions,,TRUE
volunteer_portal.admin.tab.eventtypes_cancel,Cancelar,Text button to cancel the deletion of an event type,,TRUE
volunteer_portal.admin.tab.eventtypes_addeventtype,Agregar tipo de evento,Text button to open a window to Add and new event type,,TRUE
volunteer_portal.admin.tab.eventtypes_deleteeventtype,Eliminar tipo de evento,Title for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.eventtypes_deleteeventtypeconfirmation,¿Está seguro de que desea borrarlo?,Message for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.offices_edit,Editar,Message for the confirmation window of Delete Event Type,,TRUE
volunteer_portal.admin.tab.offices_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.offices_name,Nombre,,,TRUE
volunteer_portal.admin.tab.offices_timezone,Zona horaria,,,TRUE
volunteer_portal.admin.tab.offices_actions,Acciones,,,TRUE
volunteer_portal.admin.tab.offices_delete_cancel,Cancelar,,,TRUE
volunteer_portal.admin.tab.offices_delete_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.offices_add_office,Agregar oficina,,,TRUE
volunteer_portal.admin.tab.offices_addoffice_name,Nombre,,,TRUE
volunteer_portal.admin.tab.offices_addoffice_timezone,Zona horaria,,,TRUE
volunteer_portal.admin.tab.offices_addoffice_selecttimezone,Seleccionar zona horaria,,,TRUE
volunteer_portal.admin.tab.offices_addoffice_save,Guardar,,,TRUE
volunteer_portal.admin.tab.offices_delete_delete_office,Borrar oficina,,,TRUE
volunteer_portal.admin.tab.offices_delete_confirmation,¿Está seguro de que desea borrar {{office}}?,,,TRUE
volunteer_portal.admin.tab.organizations_edit,Editar,,,TRUE
volunteer_portal.admin.tab.organizations_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.organizations_name,Nombre,,,TRUE
volunteer_portal.admin.tab.organizations_location,Ubicación,,,TRUE
volunteer_portal.admin.tab.organizations_actions,Acciones,,,TRUE
volunteer_portal.admin.tab.organizations.add.name,Nombre,,,TRUE
volunteer_portal.admin.tab.organizations.add.description,Descripción,,,TRUE
volunteer_portal.admin.tab.organizations.add.location,Ubicación,,,TRUE
volunteer_portal.admin.tab.organizations.add.website,Sitio web,,,TRUE
volunteer_portal.admin.tab.organizations.add.save,Guardar,,,TRUE
volunteer_portal.admin.tab.organizations_delete_cancel,Cancelar,,,TRUE
volunteer_portal.admin.tab.organizations_delete_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.organizations_add_organization,Agregar organización,,,TRUE
volunteer_portal.admin.tab.organizations_delete_organization,Borrar organización,,,TRUE
volunteer_portal.admin.tab.organization.delete_confirmation,¿Está seguro de que desea borrar {{organization}}?,,,TRUE
volunteer_portal.admin.tab.users_edit,Editar,,,TRUE
volunteer_portal.admin.tab.users_edit.name,Nombre,,,TRUE
volunteer_portal.admin.tab.users_edit.email,Correo-e,,,TRUE
volunteer_portal.admin.tab.users_edit.timezone,Zona horaria,,,TRUE
volunteer_portal.admin.tab.users_edit.timezone.select,Seleccione una zona horaria,,,TRUE
volunteer_portal.admin.tab.users_edit.admin,Administrador,,,TRUE
volunteer_portal.admin.tab.users_edit.office,Oficina,,,TRUE
volunteer_portal.admin.tab.users_edit.save,Guardar,,,TRUE
volunteer_portal.admin.tab.users_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.users_name,Nombre,,,TRUE
volunteer_portal.admin.tab.users_email,Correo electrónico,,,TRUE
volunteer_portal.admin.tab.users_group,Grupo,,,TRUE
volunteer_portal.admin.tab.users_actions,Acciones,,,TRUE
volunteer_portal.admin.tab.users_delete_cancel,Cancelar,,,TRUE
volunteer_portal.admin.tab.users_delete_delete,Borrar,,,TRUE
volunteer_portal.admin.tab.users_delete_user,Eliminar usuario,,,TRUE
volunteer_portal.admin.tab.user.delete.confirmation,¿Está seguro de que desea borrar {{user}}?,,,TRUE
volunteer_portal.filters.office.fetch_error,No se ha podido cargar la lista de oficinas,Text notifying that an error occured while fethcing the list of offices,,TRUE
volunteer_portal.header.user_profile.default_office,Oficina predeterminada,,,TRUE
volunteer_portal.header.user_profile.language,Idioma,,,TRUE
volunteer_portal.header.user_profile.admin,Administrador,,,TRUE
volunteer_portal.header.user_profile.volunteer,Voluntario,,,TRUE
volunteer_portal.header.user_profile.sign_out,Salir,,,TRUE
volunteer_portal.admin.tab.individualevent.pendingapproval,Pendiente de aprobación,,,true
volunteer_portal.admin.tab.individualevent.bulkactions,Acciones masivas,,,true
volunteer_portal.admin.tab.individualevent.approve,Aprobar,,,true
volunteer_portal.admin.tab.individualevent.reject,Rechazar,,,true
volunteer_portal.admin.tab.individualevent.apply,Aplicar,,,true
volunteer_portal.admin.tab.individualevent.user,Usuario,,,true
volunteer_portal.admin.tab.individualevent.description,Descripción,,,true
volunteer_portal.admin.tab.individualevent.date,Fecha,,,true
volunteer_portal.admin.tab.individualevent.duration,Duración, (min),,true
volunteer_portal.admin.tab.individualevent.organization,Organización,,,true
volunteer_portal.admin.tab.individualevent.type,Tipo,,,true
volunteer_portal.admin.tab.tags.label,Etiqueta,,,true
volunteer_portal.admin.tab.tags.actions,Acciones,,,true
volunteer_portal.admin.tab.tags.edit,Editar,,,true
volunteer_portal.admin.tab.tags.addtag,Agregar etiqueta,,,true
volunteer_portal.admin.tab.tags_addtag_save,Guardar,,,true
volunteer_portal.admin.tab.tags_addtag_name,Nombre,,,true
volunteer_portal.admin.tab.tags.delete,Borrar,,,true
volunteer_portal.admin.tab.tags.cancel,Cancelar,,,true
volunteer_portal.admin.tab.tags.deletetag,Borrar etiqueta,,,true
volunteer_portal.admin.tab.tags_delete_confirmation,¿Está seguro de que desea borrar {{tag}}?,,,true
volunteer_portal.admin.tab.reporting.name,Nombre,,,true
volunteer_portal.admin.tab.reporting.email,Correo electrónico,,,true
volunteer_portal.admin.tab.reporting.office,Oficina,,,true
volunteer_portal.admin.tab.reporting.from,Desde,,,true
volunteer_portal.admin.tab.reporting.to,Hasta,,,true
volunteer_portal.admin.tab.reporting.hours,Horas,,,true
volunteer_portal.admin.tab.reporting.exportascsv,Exportar como CSV,,,true
volunteer_portal.admin.tab.user.dashboard.topvolunteers,Mejores Voluntarios,,,true
volunteer_portal.admin.tab.user.dashboard.topvolunteers.hours,horas,,,true
volunteer_portal.admin.tab.user.dashboard.networkerror,Error de red,,,true
volunteer_portal.admin.tab.user.dashboard.networkerrormessage,"No se han podido recuperar datos del servidor en este momento. Vuelva a intentarlo más tarde",,,true
volunteer_portal.admin.tab.user.dashboard.totalhours,horas totales,,,true
volunteer_portal.admin.tab.user.dashboard.personal,personal,,,true
volunteer_portal.admin.tab.user.dashboard.milestone,Fase,,,true
volunteer_portal.admin.tab.user.dashboard.milestone.complete,Completada,,,true
volunteer_portal.admin.tab.user.dashboard.hours,horas,,,true
volunteer_portal.admin.tab.user.dashboard.milestone1,Fase,,,true
volunteer_portal.admin.tab.user.dashboard.hours1,horas,,,true
volunteer_portal.admin.tab.user.dashboard.nousersfound,No se encontraron usuarios,,,true
volunteer_portal.admin.tab.user.myevents.individualevent,Eventos individuales,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.message,Eventos privados que usted ha atendido y desea registrar.,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent,Registrar evento,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.description,Descripción,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.description.error,No puede estar vacia,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.organization,Organización,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.organization.hint,"Contactenos para agregar su organizacióna esta lista o seleccione 'Otra'",,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.organization.error,Debe seleccionar una,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.date,Fecha,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.date.error,Debe seleccionar una,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.duration,Duración,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.duration.hours,h,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.duration.error,Debe ser mayor a 0,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.type,Tipo de evento,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.type.error,Debe seleccionar uno,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.tags,Etiquetas,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.tags.error,Debe tener al menos una etiqueta,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.office,Oficina,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.office.error,Debe seleccionar una,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.record,Registrar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.recordevent.edit,Editar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.editevent,Editar Evento,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.deleteevent,Borrar evento,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.deleteevent.description,¿Esta seguro de que desea borrar este evento?,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.deleteevent.cancel,Cancelar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.deleteevent.delete,Borrar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.clone,Clonar,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents,Eventos organizados,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.description,Eventos organizados por su organización que se encuentran en su calendario.,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.noevents,Parece que no se ha registrado ha ningún evento de ninguna organización. Revise el calendario y únase a su primer evento.,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.events,Eventos,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.organization,Organización,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.date,Fecha,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.duration,Duración (min),,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.type,Tipo,,,true
volunteer_portal.admin.tab.user.myevents.organizedevents.location,Ubicación,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.noevents,Parece que aquí no hay eventos inviduales. Hágase voluntario y registre su primer evento.,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.edit,Editar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.clone,Clonar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.delete,Borrar,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.description,Descripción,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.organization,Organización,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.date,Fecha,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.duration,Duración (min),,,true
volunteer_portal.admin.tab.user.myevents.individualevent.type,Tipo,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.approval,Aprobación,,,true
volunteer_portal.admin.tab.user.myevents.individualevent.actions,Acciones,,,true
